time	start	interval_start	messages	last_messages	bytes	last_bytes	mps	bps
1462021827	1462021817	1462021827	429	429	1667937	1667937	42.9	166793.7
1462021837	1462021817	1462021837	1029	1029	4100754	4100754	60	243281.7
1462021847	1462021817	1462021847	1611	1611	6399173	6399173	58.2	229841.9
1462021857	1462021817	1462021857	2222	2222	8729470	8729470	61.1	233029.7
1462021867	1462021817	1462021867	2842	2842	11248094	11248094	62	251862.4
1462021877	1462021817	1462021877	3464	3464	13602785	13602785	62.2	235469.1
1462021887	1462021817	1462021887	4100	4100	16139226	16139226	63.6	253644.1
1462021897	1462021817	1462021897	4692	4692	18523545	18523545	59.2	238431.9
1462021907	1462021817	1462021907	5302	5302	20957400	20957400	61	243385.5
1462021981	1462021971	1462021981	378	378	1590827	1590827	37.8	159082.7
1462022000	1462021990	1462022000	365	365	1434519	1434519	36.5	143451.9
1462022010	1462021990	1462022010	926	926	3733270	3733270	56.1	229875.1
1462022021	1462021990	1462022021	1366	1366	5466783	5466783	44	173351.3
1462022031	1462021990	1462022031	2193	2193	8797977	8797977	82.7	333119.4
1462022041	1462021990	1462022041	2670	2670	10735333	10735333	47.7	193735.6
1462022051	1462021990	1462022051	3207	3207	12844967	12844967	53.7	210963.4
